model,accuracy,precision,recall,f1,roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
random_forest,0.9272727272727272,0.8125,0.9285714285714286,0.8666666666666667,0.9860627177700348,0.8858350951374208,0.032158595655763726,0.7571177944862155,0.07056250218356108,0.9557162534435262,0.01275053626216832
logistic_regression,0.9636363636363636,0.875,1.0,0.9333333333333333,0.9982578397212544,0.9454545454545453,0.0421528113431623,0.8962494027711418,0.08410927766048795,0.9818181818181818,0.01593039371327931
decision_tree,0.8727272727272727,0.6842105263157895,0.9285714285714286,0.7878787878787878,0.867595818815331,0.8493657505285412,0.030573266097208403,0.6702102850709661,0.07406722645557623,0.8100120523415978,0.06553284762550075
dummy_majority,0.7454545454545455,0.0,0.0,0.0,0.5,0.7488372093023256,0.0023255813953488415,0.0,0.0,0.5,0.0
