min_support,n_itemsets,n_rules,max_lift,median_confidence
0.03,324,872,3.4066666666666667,0.7222222222222222
0.05,244,728,3.4066666666666667,0.6721311475409836
0.08,199,664,3.4066666666666667,0.6666666666666666
0.1,168,560,2.7938271604938274,0.673469387755102
0.15,127,430,2.630870040043684,0.6721311475409836
