antecedents,consequents,support,confidence,lift,leverage,conviction
"high_elderly_share, rich_transit_access","rich_accessibility_support, rich_food_access",0.0958904109589041,0.7,3.4066666666666667,0.06774254081441171,2.648401826484018
"diverse_food_environment, poor_food_access","hawker_present, poor_accessibility_support",0.0867579908675799,0.5588235294117647,3.138009049773756,0.05911052730343404,1.8630136986301369
"hawker_present, poor_food_access","diverse_food_environment, poor_accessibility_support",0.0867579908675799,0.5428571428571428,3.1285714285714286,0.05902712620670962,1.8079337899543377
"diverse_food_environment, poor_accessibility_support","hawker_present, poor_food_access",0.0867579908675799,0.5,3.1285714285714286,0.05902712620670962,1.6803652968036529
"high_elderly_share, rich_accessibility_support","rich_food_access, rich_transit_access",0.0958904109589041,0.6,3.0558139534883724,0.06451074831634035,2.009132420091324
"high_elderly_share, rich_transit_access","high_elderly_density, rich_food_access",0.0730593607305936,0.5333333333333333,2.8487804878048784,0.04741352348783386,1.741682974559687
"rich_accessibility_support, rich_food_access","hawker_present, rich_transit_access",0.1415525114155251,0.6888888888888889,2.7938271604938274,0.0908863451554388,2.4217221135029354
"rich_accessibility_support, rich_food_access","diverse_food_environment, rich_transit_access",0.1415525114155251,0.6888888888888889,2.7938271604938274,0.0908863451554388,2.4217221135029354
"hawker_present, rich_transit_access","rich_accessibility_support, rich_food_access",0.1415525114155251,0.5740740740740741,2.7938271604938274,0.0908863451554388,1.8653960690887434
"diverse_food_environment, rich_transit_access","rich_accessibility_support, rich_food_access",0.1415525114155251,0.5740740740740741,2.7938271604938274,0.0908863451554388,1.8653960690887434
"hawker_present, rich_accessibility_support","rich_food_access, rich_transit_access",0.1415525114155251,0.5254237288135594,2.675995270003942,0.08865536581806051,1.6934116112198305
"diverse_food_environment, rich_accessibility_support","rich_food_access, rich_transit_access",0.1415525114155251,0.5254237288135594,2.675995270003942,0.08865536581806051,1.6934116112198305
"rich_food_access, rich_transit_access","hawker_present, rich_accessibility_support",0.1415525114155251,0.7209302325581395,2.6759952700039418,0.08865536581806051,2.6179604261796037
"rich_food_access, rich_transit_access","diverse_food_environment, rich_accessibility_support",0.1415525114155251,0.7209302325581395,2.6759952700039418,0.08865536581806051,2.6179604261796037
"high_elderly_density, rich_food_access","diverse_food_environment, high_elderly_share",0.1506849315068493,0.8048780487804879,2.630870040043684,0.09340922833135255,3.557077625570777
"high_elderly_share, rich_transit_access","hawker_present, rich_accessibility_support",0.0958904109589041,0.7,2.5983050847457627,0.058985425658347405,2.4353120243531197
"high_elderly_share, rich_transit_access","diverse_food_environment, rich_accessibility_support",0.0958904109589041,0.7,2.5983050847457627,0.058985425658347405,2.4353120243531197
